EV, LA, Hits, Outs
8, -87, 7.0, 53.0
9, -87, 5.0, 56.0
10, -87, 5.0, 50.0
11, -87, 5.0, 47.0
12, -87, 5.0, 45.0
13, -87, 5.0, 45.0
14, -87, 5.0, 56.0
15, -87, 4.0, 51.0
16, -87, 3.0, 47.0
17, -87, 3.0, 55.0
18, -87, 4.0, 48.0
19, -87, 3.0, 55.0
20, -87, 6.0, 60.0
21, -87, 4.0, 48.0
22, -87, 5.0, 54.0
23, -87, 4.0, 54.0
24, -87, 4.0, 52.0
25, -87, 5.0, 61.0
26, -87, 2.0, 53.0
27, -87, 0.0, 51.0
28, -87, 0.0, 52.0
29, -87, 0.0, 63.0
30, -87, 0.0, 53.0
31, -87, 1.0, 57.0
32, -87, 1.0, 55.0
33, -87, 2.0, 50.0
34, -87, 1.0, 61.0
35, -87, 1.0, 53.0
36, -87, 3.0, 56.0
37, -87, 2.0, 49.0
38, -87, 4.0, 62.0
39, -87, 6.0, 66.0
40, -87, 6.0, 72.0
41, -87, 2.0, 56.0
42, -87, 2.0, 63.0
43, -87, 2.0, 60.0
44, -87, 3.0, 61.0
45, -87, 4.0, 66.0
46, -87, 6.0, 65.0
47, -87, 2.0, 49.0
48, -87, 2.0, 53.0
49, -87, 2.0, 49.0
50, -87, 2.0, 55.0
51, -87, 5.0, 46.0
52, -87, 5.0, 46.0
53, -87, 5.0, 53.0
54, -87, 4.0, 51.0
55, -87, 3.0, 54.0
56, -87, 3.0, 50.0
57, -87, 4.0, 49.0
58, -87, 9.0, 56.0
59, -87, 9.0, 56.0
60, -87, 10.0, 50.0
61, -87, 9.0, 47.0
62, -87, 9.0, 47.0
63, -87, 10.0, 45.0
64, -87, 9.0, 59.0
65, -87, 8.0, 46.0
66, -87, 9.0, 49.0
67, -87, 9.0, 45.0
68, -87, 10.0, 42.0
69, -87, 6.0, 45.0
70, -87, 10.0, 50.0
71, -87, 8.0, 51.0
72, -87, 6.0, 46.0
73, -87, 6.0, 58.0
74, -87, 4.0, 50.0
75, -87, 7.0, 59.0
76, -87, 5.0, 51.0
77, -87, 5.0, 48.0
78, -87, 6.0, 61.0
79, -87, 5.0, 48.0
80, -87, 11.0, 54.0
81, -87, 8.0, 47.0
82, -87, 12.0, 54.0
83, -87, 9.0, 49.0
84, -87, 9.0, 48.0
85, -87, 9.0, 43.0
86, -87, 8.0, 44.0
87, -87, 14.0, 48.0
88, -87, 8.0, 45.0
89, -87, 13.0, 43.0
90, -87, 15.0, 58.0
91, -87, 9.0, 44.0
92, -87, 14.0, 47.0
93, -87, 16.0, 40.0
94, -87, 20.0, 50.0
95, -87, 18.0, 43.0
96, -87, 16.0, 35.0
97, -87, 19.0, 46.0
98, -87, 18.0, 42.0
99, -87, 19.0, 47.0
100, -87, 18.0, 38.0
101, -87, 24.0, 43.0
102, -87, 17.0, 37.0
103, -87, 19.0, 45.0
104, -87, 15.0, 40.0
105, -87, 16.0, 49.0
106, -87, 14.0, 42.0
107, -87, 17.0, 46.0
108, -87, 9.0, 42.0
109, -87, 15.0, 49.0
110, -87, 14.0, 47.0
111, -87, 15.0, 47.0
112, -87, 13.0, 44.0
113, -87, 18.0, 45.0
114, -87, 16.0, 37.0
115, -87, 18.0, 43.0
116, -87, 20.0, 48.0
117, -87, 17.0, 40.0
118, -87, 23.0, 55.0
119, -87, 17.0, 44.0
120, -87, 15.0, 37.0
121, -87, 14.0, 40.0
122, -87, 20.0, 48.0
123, -87, 12.0, 44.0
124, -87, 12.0, 43.0
0, -86, 7.0, 50.0
1, -86, 8.0, 48.0
2, -86, 7.0, 48.0
3, -86, 6.0, 46.0
4, -86, 8.0, 51.0
5, -86, 5.0, 45.0
6, -86, 5.0, 46.0
7, -86, 5.0, 51.0
8, -86, 6.0, 57.0
9, -86, 7.0, 53.0
10, -86, 5.0, 56.0
11, -86, 5.0, 50.0
12, -86, 5.0, 47.0
13, -86, 5.0, 45.0
14, -86, 5.0, 45.0
