EV, LA, Hits, Outs
41, -85, 1.0, 64.0
42, -85, 1.0, 68.0
43, -85, 2.0, 53.0
44, -85, 4.0, 72.0
45, -85, 4.0, 47.0
46, -85, 4.0, 48.0
47, -85, 8.0, 55.0
48, -85, 10.0, 60.0
49, -85, 7.0, 67.0
50, -85, 10.0, 62.0
51, -85, 9.0, 64.0
52, -85, 7.0, 43.0
53, -85, 10.0, 65.0
54, -85, 7.0, 66.0
55, -85, 8.0, 62.0
56, -85, 6.0, 56.0
57, -85, 3.0, 64.0
58, -85, 6.0, 55.0
59, -85, 7.0, 51.0
60, -85, 7.0, 47.0
61, -85, 6.0, 44.0
62, -85, 6.0, 52.0
63, -85, 8.0, 51.0
64, -85, 7.0, 43.0
65, -85, 7.0, 56.0
66, -85, 6.0, 57.0
67, -85, 9.0, 52.0
68, -85, 13.0, 54.0
69, -85, 9.0, 44.0
70, -85, 14.0, 62.0
71, -85, 7.0, 44.0
72, -85, 8.0, 61.0
73, -85, 7.0, 57.0
74, -85, 6.0, 49.0
75, -85, 5.0, 51.0
76, -85, 6.0, 51.0
77, -85, 7.0, 54.0
78, -85, 6.0, 50.0
79, -85, 8.0, 50.0
80, -85, 8.0, 46.0
81, -85, 8.0, 42.0
82, -85, 10.0, 64.0
83, -85, 10.0, 47.0
84, -85, 8.0, 56.0
85, -85, 10.0, 42.0
86, -85, 9.0, 50.0
87, -85, 12.0, 55.0
88, -85, 12.0, 47.0
89, -85, 12.0, 51.0
90, -85, 8.0, 42.0
91, -85, 15.0, 48.0
92, -85, 15.0, 42.0
93, -85, 12.0, 39.0
94, -85, 19.0, 53.0
95, -85, 15.0, 42.0
96, -85, 14.0, 39.0
97, -85, 14.0, 41.0
98, -85, 18.0, 49.0
99, -85, 22.0, 36.0
100, -85, 18.0, 48.0
101, -85, 13.0, 37.0
102, -85, 17.0, 44.0
103, -85, 15.0, 41.0
104, -85, 15.0, 45.0
105, -85, 13.0, 37.0
106, -85, 18.0, 43.0
107, -85, 15.0, 38.0
108, -85, 15.0, 37.0
109, -85, 18.0, 37.0
110, -85, 18.0, 42.0
111, -85, 17.0, 35.0
112, -85, 21.0, 42.0
113, -85, 14.0, 37.0
114, -85, 16.0, 40.0
115, -85, 21.0, 46.0
116, -85, 17.0, 44.0
117, -85, 15.0, 35.0
118, -85, 15.0, 46.0
119, -85, 19.0, 47.0
120, -85, 18.0, 37.0
0, -84, 4.0, 57.0
1, -84, 3.0, 52.0
2, -84, 3.0, 48.0
3, -84, 3.0, 54.0
4, -84, 4.0, 51.0
5, -84, 3.0, 48.0
6, -84, 3.0, 55.0
7, -84, 3.0, 51.0
8, -84, 3.0, 53.0
9, -84, 3.0, 52.0
10, -84, 4.0, 51.0
11, -84, 4.0, 60.0
12, -84, 4.0, 61.0
13, -84, 4.0, 61.0
14, -84, 2.0, 61.0
15, -84, 2.0, 49.0
16, -84, 1.0, 55.0
17, -84, 2.0, 59.0
18, -84, 2.0, 56.0
19, -84, 2.0, 52.0
20, -84, 3.0, 51.0
21, -84, 4.0, 55.0
22, -84, 4.0, 49.0
23, -84, 7.0, 59.0
24, -84, 3.0, 49.0
25, -84, 3.0, 50.0
26, -84, 4.0, 60.0
27, -84, 4.0, 51.0
28, -84, 5.0, 52.0
29, -84, 5.0, 47.0
30, -84, 5.0, 50.0
31, -84, 7.0, 57.0
32, -84, 3.0, 53.0
33, -84, 3.0, 50.0
34, -84, 2.0, 56.0
35, -84, 2.0, 63.0
36, -84, 3.0, 56.0
37, -84, 2.0, 52.0
38, -84, 2.0, 48.0
39, -84, 2.0, 56.0
40, -84, 1.0, 51.0
41, -84, 2.0, 69.0
42, -84, 2.0, 54.0
43, -84, 1.0, 59.0
44, -84, 0.0, 57.0
45, -84, 3.0, 57.0
46, -84, 5.0, 60.0
47, -84, 6.0, 70.0
48, -84, 9.0, 73.0
49, -84, 9.0, 67.0
50, -84, 8.0, 46.0
51, -84, 9.0, 43.0
52, -84, 9.0, 50.0
53, -84, 6.0, 45.0
54, -84, 6.0, 45.0
55, -84, 6.0, 45.0
56, -84, 4.0, 50.0
57, -84, 5.0, 73.0
58, -84, 9.0, 66.0
59, -84, 6.0, 58.0
60, -84, 7.0, 52.0
61, -84, 6.0, 51.0
62, -84, 5.0, 47.0
63, -84, 8.0, 62.0
64, -84, 9.0, 53.0
65, -84, 7.0, 57.0
66, -84, 7.0, 46.0
67, -84, 11.0, 51.0
68, -84, 11.0, 49.0
69, -84, 13.0, 60.0
70, -84, 9.0, 60.0
71, -84, 8.0, 59.0
72, -84, 7.0, 56.0
73, -84, 6.0, 47.0
74, -84, 5.0, 53.0
75, -84, 5.0, 51.0
76, -84, 7.0, 55.0
77, -84, 7.0, 49.0
78, -84, 7.0, 43.0
79, -84, 8.0, 47.0
80, -84, 10.0, 56.0
81, -84, 10.0, 63.0
82, -84, 10.0, 48.0
83, -84, 8.0, 57.0
84, -84, 10.0, 42.0
85, -84, 9.0, 50.0
86, -84, 12.0, 55.0
87, -84, 12.0, 47.0
88, -84, 12.0, 51.0
89, -84, 8.0, 42.0
90, -84, 15.0, 47.0
91, -84, 15.0, 41.0
92, -84, 12.0, 39.0
93, -84, 19.0, 54.0
94, -84, 15.0, 42.0
95, -84, 14.0, 39.0
96, -84, 14.0, 41.0
97, -84, 18.0, 49.0
98, -84, 22.0, 36.0
99, -84, 18.0, 48.0
100, -84, 13.0, 37.0
101, -84, 17.0, 44.0
102, -84, 15.0, 41.0
103, -84, 15.0, 45.0
104, -84, 13.0, 37.0
105, -84, 18.0, 43.0
106, -84, 15.0, 38.0
107, -84, 15.0, 37.0
108, -84, 18.0, 37.0
109, -84, 18.0, 42.0
110, -84, 17.0, 35.0
111, -84, 21.0, 42.0
112, -84, 14.0, 37.0
113, -84, 16.0, 40.0
114, -84, 21.0, 46.0
115, -84, 17.0, 44.0
116, -84, 15.0, 35.0
117, -84, 15.0, 46.0
118, -84, 19.0, 47.0
119, -84, 18.0, 37.0
120, -84, 18.0, 45.0
0, -83, 4.0, 47.0
1, -83, 4.0, 57.0
2, -83, 3.0, 52.0
3, -83, 3.0, 48.0
4, -83, 3.0, 54.0
5, -83, 4.0, 51.0
6, -83, 3.0, 48.0
7, -83, 3.0, 55.0
8, -83, 3.0, 51.0
9, -83, 3.0, 53.0
10, -83, 3.0, 52.0
11, -83, 4.0, 51.0
12, -83, 3.0, 47.0
13, -83, 4.0, 61.0
14, -83, 4.0, 62.0
15, -83, 2.0, 61.0
16, -83, 2.0, 49.0
17, -83, 1.0, 54.0
18, -83, 2.0, 60.0
19, -83, 2.0, 55.0
20, -83, 2.0, 52.0
21, -83, 3.0, 51.0
22, -83, 4.0, 54.0
23, -83, 4.0, 49.0
24, -83, 7.0, 57.0
