EV, LA, Hit_Probability
101, -88, 0.21739130434782608
102, -88, 0.23529411764705882
103, -88, 0.28125
104, -88, 0.1
105, -88, 0.17391304347826086
106, -88, 0.25806451612903225
107, -88, 0.16666666666666666
108, -88, 0.2
109, -88, 0.18181818181818182
110, -88, 0.2
111, -88, 0.26666666666666666
112, -88, 0.3
113, -88, 0.2857142857142857
114, -88, 0.2916666666666667
115, -88, 0.25925925925925924
116, -88, 0.24
117, -88, 0.13636363636363635
118, -88, 0.25925925925925924
119, -88, 0.2857142857142857
120, -88, 0.2222222222222222
121, -88, 0.24
122, -88, 0.36363636363636365
123, -88, 0.3333333333333333
124, -88, 0.3
0, -87, 0.14285714285714285
1, -87, 0.09523809523809523
2, -87, 0.08333333333333333
3, -87, 0.09090909090909091
4, -87, 0.05
5, -87, 0.043478260869565216
6, -87, 0.08571428571428572
7, -87, 0.04
8, -87, 0.05
9, -87, 0.037037037037037035
10, -87, 0.041666666666666664
11, -87, 0.1
12, -87, 0.045454545454545456
13, -87, 0.041666666666666664
14, -87, 0.041666666666666664
15, -87, 0.04
16, -87, 0.043478260869565216
17, -87, 0.05
18, -87, 0.04
19, -87, 0.0
20, -87, 0.0
21, -87, 0.0
22, -87, 0.0
23, -87, 0.0
24, -87, 0.0
25, -87, 0.0
26, -87, 0.0
27, -87, 0.0
28, -87, 0.0
29, -87, 0.0
30, -87, 0.0
31, -87, 0.0
32, -87, 0.0
33, -87, 0.0
34, -87, 0.0
35, -87, 0.0
36, -87, 0.0
37, -87, 0.0
38, -87, 0.0
39, -87, 0.0
40, -87, 0.0
41, -87, 0.0
42, -87, 0.0
43, -87, 0.0
44, -87, 0.0
45, -87, 0.07692307692307693
46, -87, 0.0
47, -87, 0.09090909090909091
48, -87, 0.0
49, -87, 0.05714285714285714
50, -87, 0.0
51, -87, 0.08695652173913043
52, -87, 0.045454545454545456
53, -87, 0.11764705882352941
54, -87, 0.047619047619047616
55, -87, 0.08823529411764706
56, -87, 0.037037037037037035
57, -87, 0.07142857142857142
58, -87, 0.1
59, -87, 0.14285714285714285
60, -87, 0.13513513513513514
61, -87, 0.17647058823529413
62, -87, 0.2
63, -87, 0.2
64, -87, 0.15384615384615385
65, -87, 0.13043478260869565
66, -87, 0.125
67, -87, 0.20833333333333334
68, -87, 0.2608695652173913
69, -87, 0.18518518518518517
70, -87, 0.07407407407407407
71, -87, 0.14285714285714285
72, -87, 0.1
73, -87, 0.14285714285714285
74, -87, 0.13043478260869565
75, -87, 0.1111111111111111
76, -87, 0.125
77, -87, 0.0967741935483871
78, -87, 0.07142857142857142
79, -87, 0.08
80, -87, 0.1
81, -87, 0.1
82, -87, 0.16
83, -87, 0.13043478260869565
84, -87, 0.13636363636363635
85, -87, 0.14285714285714285
86, -87, 0.18518518518518517
87, -87, 0.045454545454545456
88, -87, 0.13636363636363635
89, -87, 0.09523809523809523
90, -87, 0.12
91, -87, 0.16666666666666666
92, -87, 0.14285714285714285
93, -87, 0.14814814814814814
94, -87, 0.1891891891891892
