Ellsbury, Jacoby,453056,2016,616,145,107,24,5,9,13.6,8.8,.263,.267,16.7,46.5,4.29,27.9
Tulowitzki, Troy,453064,2016,544,125,80,21,0,24,18.6,7.9,.254,.266,20.8,44.6,4.61,25.5
Robinson, Shane,453203,2016,111,17,13,3,0,1,15.3,9,.173,.192,20,44.3,4.22,28.9
Stubbs, Drew,453211,2016,94,18,15,0,0,3,40.4,12.8,.225,.191,33.8,36.7,4.06,29.6
Scherzer, Max,453286,2016,85,13,12,1,0,0,35.3,2.4,.186,.137,32.6,48.2,4.65,24.2
Richard, Clayton,453385,2016,21,1,1,0,0,0,42.9,4.8,.059,.091,33.3,41.9,,
Johnson, Chris,453400,2016,264,54,38,11,0,5,29.5,7.2,.222,.258,29.4,48.1,4.69,26.2
Arrieta, Jake,453562,2016,70,17,12,2,1,2,40,5.7,.262,.197,36.3,47.9,,25.6
Blackmon, Charlie,453568,2016,641,187,118,35,5,29,15.9,6.7,.324,.296,16.9,47.1,4.2,27.7
Ryan, Brendan,453895,2016,14,1,1,0,0,0,50,0,.077,.053,34.5,51.8,,
Blanco, Grégor,453923,2016,273,54,39,10,4,1,18.7,10.6,.224,.223,18,43.4,4.21,28.2
Frazier, Todd,453943,2016,666,133,72,21,0,40,24.5,9.6,.225,.220,28.3,46.7,4.49,26.2
Ellis, A.J.,454560,2016,196,37,27,8,0,2,15.8,9.7,.216,.242,12.7,38.4,4.84,24.6
Iribarren, Hernan,454975,2016,45,14,11,0,3,0,24.4,0,.311,.281,24.7,43.6,4.24,28.1
Iannetta, Chris,455104,2016,338,62,41,14,0,7,24.6,11.2,.210,.233,26.5,45.7,4.8,25.0
Maldonado, Martín,455117,2016,253,42,27,7,0,8,22.1,13.8,.202,.206,25.3,39.2,4.76,25.3
Chirinos, Robinson,455139,2016,170,33,13,11,0,9,25.9,8.8,.224,.205,29.1,44.6,4.63,25.7
Pena, Ramiro,455369,2016,91,26,18,6,1,1,17.6,2.2,.299,.248,20.2,53.1,4.4,26.9
Stewart, Chris,455755,2016,113,21,16,4,0,1,13.3,10.6,.214,.218,10.8,34.1,4.69,25.4
Young, Chris,455759,2016,227,56,29,18,0,9,22,9.3,.276,.231,22.2,42,4.34,27.7
Markakis, Nick,455976,2016,684,161,110,38,0,13,14.8,10.4,.269,.276,12.8,40.4,4.53,25.5
Pedroia, Dustin,456030,2016,698,201,149,36,1,15,10.5,8.7,.318,.285,12.2,43.1,4.36,26.5
Price, David,456034,2016,11,0,0,0,0,0,72.7,9.1,.000,.003,36.8,41.3,,
Castillo, Welington,456078,2016,457,110,72,24,0,14,26.5,7.2,.264,.234,26.9,43.4,4.73,24.9
Kratz, Erik,456124,2016,87,8,5,2,0,1,36.8,1.1,.094,.151,35.5,51.7,4.69,25.2
Bourn, Michael,456422,2016,413,99,75,13,6,5,22.3,6.8,.264,.233,22.9,41.9,4.09,28.1
Núñez, Eduardo,456488,2016,595,159,115,24,4,16,14.8,4.9,.288,.255,16.9,53.6,4.16,28.0
Cueto, Johnny,456501,2016,84,8,8,0,0,0,28.6,2.4,.114,.117,17.8,60.2,,25.7
Pearce, Steve,456665,2016,302,76,49,13,1,13,17.9,11.3,.288,.275,24.5,45,4.5,26.6
Bailey, Homer,456701,2016,11,1,1,0,0,0,9.1,9.1,.100,.056,0,38.5,,23.0
