last_name, first_name,player_id,year,pa,walk,k_percent,batting_avg,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Celestino, Gilberto,665482,2022,347,32,22.2,.238,.219,87.3,27.1,2.5,34.3,98.33701431,93.262711767,23.4,44.5
Guerrero Jr., Vladimir,665489,2022,706,58,16.4,.274,.281,92.8,27.9,11.2,50.4,105.507038582,97.328619789,24.4,49.7
Pache, Cristian,665506,2022,260,15,26.9,.166,.228,89.4,25.3,3.4,40.8,100.207713059,94.45821355,30.2,50.5
Soto, Juan,665742,2022,664,135,14.5,.242,.266,91,28.5,12.4,47.4,102.236934112,95.653888852,19.2,35.5
Taveras, Leody,665750,2022,341,21,25.8,.261,.226,89.3,28.7,4.3,36.1,99.307027387,93.803918054,28.1,49.2
Cabrera, Oswaldo,665828,2022,171,15,25.7,.247,.220,86.8,41.1,6.3,34.8,97.586874909,92.793437455,26.9,52.4
Cruz, Oneil,665833,2022,361,28,34.9,.233,.219,91.9,30.6,15.5,46.1,104.662067282,96.683239073,35.4,40.5
Chisholm Jr., Jazz,665862,2022,241,21,27.4,.254,.242,90.4,37.3,16.7,46.7,100.669336216,94.818931905,32.1,47.2
Giménez, Andrés,665926,2022,557,34,20.1,.297,.257,87.8,31.3,6.2,37.8,99.022592,93.615976351,26.2,53.7
Aranda, Jonathan,666018,2022,87,8,26.4,.192,.205,91.1,29.1,7.3,45.5,100.631155185,94.661134074,22.4,44
Jones, Nolan,666134,2022,94,8,33,.244,.254,89.3,49.1,14.5,49.1,101.65603963,95.263844815,29.9,43.6
Kirilloff, Alex,666135,2022,156,5,23.1,.250,.228,89.3,28.2,6.4,45.5,99.634929455,94.165907909,20.1,50.3
Lowe, Josh,666139,2022,198,15,33.3,.221,.212,88.3,47.4,5.2,37.1,98.497331034,93.392541391,32.6,46.2
Lux, Gavin,666158,2022,471,47,20.2,.276,.247,88,34,6.1,39.8,98.887037439,93.675126098,23.3,42.6
Moniak, Mickey,666160,2022,112,4,39.3,.170,.158,84.9,22.2,7.9,31.7,98.719537419,93.466598689,37.9,58.3
Adell, Jo,666176,2022,285,11,37.5,.224,.201,87.4,33.3,9.9,37.7,99.589186914,93.836446584,36.2,51.9
Beer, Seth,666179,2022,126,11,24.6,.189,.215,85.9,33.3,3.7,29.6,97.17208925,92.66727557,28.7,47.5
Benson, Will,666181,2022,61,3,31.1,.182,.181,84.2,18.9,0,27,96.206221667,92.304290833,30.6,42.8
Bichette, Bo,666182,2022,697,41,22.2,.290,.278,91.9,33.3,9.6,50.3,102.743171296,96.003278846,23,55.9
Carlson, Dylan,666185,2022,488,45,19.3,.236,.234,86.1,35.7,4.4,27.2,96.293953036,92.150882262,25.6,46.2
Trammell, Taylor,666211,2022,117,13,28.2,.196,.206,88.3,29.6,9.9,28.2,97.776181429,92.975271014,33.7,47.7
Encarnación, Jerar,666464,2022,81,3,39.5,.182,.184,90.5,30.4,6.5,41.3,100.049450435,94.552698043,42.7,54.6
Morel, Christopher,666624,2022,425,38,32.2,.235,.229,89.6,30,13.4,40.3,101.819951356,95.086096314,38.3,50.1
Castro, Rodolfo,666801,2022,277,22,26.7,.233,.210,87.3,25.6,6.7,35,99.31755,93.717343409,32.6,47.5
Dalbec, Bobby,666915,2022,353,29,33.4,.215,.216,90.3,32,11.8,45.8,101.246531881,94.95935203,35,46.5
García, Adolis,666969,2022,657,40,27.9,.250,.244,92.1,36.9,12.9,47.4,102.368780141,95.786867388,33.5,53.5
Gurriel Jr., Lourdes,666971,2022,493,31,16.8,.291,.273,90.6,34.7,3.8,45.7,100.376795914,94.662022446,21.3,48.7
Arozarena, Randy,668227,2022,645,46,24.2,.263,.234,89.9,28.2,7.9,41,101.17822,94.772195116,28.6,46.1
Pratto, Nick,668472,2022,182,19,36.3,.184,.173,86,34.4,12.5,36.5,98.384692128,93.208049043,34.4,45.5
Barrera, Tres,668663,2022,53,2,30.2,.180,.167,81.8,31.4,0,14.3,91.985822941,90.149646176,24,53.6
Bleday, JJ,668709,2022,238,30,28.2,.167,.190,86.3,37.4,8.6,33.8,97.363228429,92.749834317,27.9,46.7
Steer, Spencer,668715,2022,108,11,24.1,.211,.209,84.7,30.4,5.8,31.9,96.403368857,92.284970435,21.2,41.8
Baddoo, Akil,668731,2022,225,24,28.4,.204,.192,85,29.9,3.6,27,96.42330597,92.211959254,28.1,47.1
Mitchell, Cal,668751,2022,232,18,22.4,.226,.238,89.9,34,4.9,40.7,99.042591235,93.818245342,26.6,50.5
Knizner, Andrew,668800,2022,293,26,21.2,.215,.219,86,28.6,3.5,33.2,97.694226667,92.856279899,22.7,48.8
Reynolds, Bryan,668804,2022,614,56,23,.262,.249,90.2,35.5,7.9,42.9,100.882578564,94.722792556,27.7,50.4
Capel, Conner,668843,2022,59,5,16.9,.308,.282,87.6,34.1,6.8,31.8,97.990665455,93.173799773,24.8,45
Rutschman, Adley,668939,2022,470,65,18.3,.254,.248,87.9,35.6,7.9,36.8,99.028130823,93.60531527,17.9,40.5
Rojas, Josh,668942,2022,510,55,19.2,.269,.239,88.8,33.5,4.5,36.1,98.050444128,93.265048338,22.2,41
Kreidler, Ryan,668952,2022,84,6,26.2,.178,.211,88.2,34.5,7.3,32.7,96.201781111,92.261975094,27.6,49.2
Mitchell, Garrett,669003,2022,68,6,41.2,.311,.187,92.9,41.2,11.8,41.2,100.828725882,95.111031515,31.5,48.7
Melendez Jr., MJ,669004,2022,534,66,24.5,.217,.237,90.7,31,10.4,43.5,100.595888323,94.716383713,27.8,44.6
Marsh, Brandon,669016,2022,461,28,34.3,.245,.226,89.2,40.8,7.4,38.2,99.629003534,94.108601774,29.1,47.9
Stowers, Kyle,669065,2022,98,5,29.6,.253,.266,91.1,38.7,11.3,50,102.094287742,95.636152581,32.8,55.4
Huff, Sam,669087,2022,132,11,31.8,.240,.226,88.9,35.4,10.1,36.7,99.99883625,94.152076329,39,53.3
Langeliers, Shea,669127,2022,153,9,34.6,.218,.197,87.3,42.9,9.9,38.5,99.086486739,93.605224725,42.7,54.2
Campusano, Luis,669134,2022,50,1,22,.250,.230,87.7,26.3,5.3,36.8,99.761276842,93.942856579,31.7,62.7
Murphy, Sean,669221,2022,612,56,20.3,.250,.255,88.7,34.7,10.5,41.4,101.085158756,94.706891435,24,49.3
Senzel, Nick,669222,2022,420,30,18.1,.231,.249,87.2,35,3.3,33.9,97.72590723,92.94147061,21.8,47.7
Edman, Tommy,669242,2022,630,46,17.6,.265,.258,88.6,31.6,6.2,37.8,98.931648319,93.598664536,20.6,47
Solak, Nick,669256,2022,95,7,20,.207,.242,86.7,28.1,7.8,34.4,98.943208065,93.471604032,23.8,42.3
Smith, Will,669257,2022,578,56,16.6,.260,.257,89.9,36.8,10.3,43,99.764565096,94.188464255,19.3,42.6
Suwinski, Jack,669261,2022,372,41,30.6,.202,.204,88.3,26.3,12.2,40.4,100.221227453,94.334188302,30.5,43.2
Espinal, Santiago,669289,2022,491,36,13.8,.267,.263,86.1,33.8,3.4,31.7,96.814213298,92.407779843,15.5,46.1
Miranda, Jose,669304,2022,483,28,18.8,.268,.253,89.3,34.2,6.2,42.4,99.818973051,94.236161898,24.3,51.5
Thompson, Bubba,669352,2022,181,7,30.9,.265,.171,84.8,21.6,1.7,21.6,95.6266222,91.8214983,31.6,58.7
Gorman, Nolan,669357,2022,313,28,32.9,.226,.239,89.2,46.7,14.4,43.3,100.703871333,94.563796111,34.5,51.1
Hiura, Keston,669374,2022,266,23,41.7,.226,.205,91.7,41.1,15.3,45.2,103.00306629,95.913755285,40.1,49
Burger, Jake,669394,2022,183,10,30.6,.250,.225,90.7,33.3,14.9,43,102.65301125,95.597171532,35.4,53.8
Allen, Nick,669397,2022,326,19,19.6,.207,.210,83.9,26,1.2,22.3,94.329041897,91.214480087,22.7,53
Hummel, Cooper,669450,2022,201,23,31.8,.176,.210,87.6,30.1,7.1,35.4,99.536416429,93.823074324,27.5,40.9
Smith, Josh,669701,2022,253,28,19.8,.197,.224,87,34.5,2.4,28.6,96.124871098,92.093542209,23.4,41.1
Hays, Austin,669720,2022,582,34,19.6,.250,.240,87.7,32.3,5.2,37.7,98.997922429,93.543165976,23.5,51
Hall, Darick,669742,2022,142,5,31,.250,.232,91.4,37,17.4,44.6,101.637107174,95.146168043,33.7,52.5
Call, Alex,669743,2022,131,15,22.9,.237,.212,86.3,29.8,1.2,31,96.200864048,92.155563976,24.8,44.6
Toglia, Michael,669911,2022,120,9,36.7,.216,.218,87.4,32.8,7.5,40.3,99.722920588,94.057525373,33.8,47.7
Lopez, Nicky,670032,2022,480,29,13.1,.227,.243,84.9,31.3,1.6,22.9,94.94043827,91.479636504,17.3,49.1
Raley, Luke,670042,2022,72,7,33.3,.197,.177,90.1,31.6,13.2,39.5,100.628204737,94.641931351,39.9,50.7
Wallner, Matt,670242,2022,65,6,38.5,.228,.175,87.5,21.9,9.4,53.1,102.52181,95.903495313,38.1,44
Stevenson, Cal,670276,2022,71,8,32.4,.167,.208,87.6,32.5,5,32.5,97.164706842,92.732142895,26.3,38.8
Rojas, Jose,670351,2022,57,0,33.3,.125,.167,84.8,21.6,2.7,32.4,96.317041667,92.241079444,26,57.5
Alvarez, Yordan,670541,2022,561,78,18.9,.306,.329,95.2,40.7,21,59.8,105.676985081,98.195923324,23.4,42.7
Paredes, Isaac,670623,2022,381,44,17.6,.205,.210,87.4,27.4,6.4,38.7,98.355538496,93.255665472,16.5,39.8
Brosseau, Mike,670712,2022,160,14,30,.255,.213,89.1,34.4,8.6,41.9,98.509374894,93.686113441,31.1,46.9
Walls, Taylor,670764,2022,466,52,25.8,.172,.196,86.3,32.6,6.2,28.5,96.121545455,92.072558077,25.4,43
González, Luis,670768,2022,350,30,21.4,.251,.215,86.9,27,2.9,32,97.698676404,92.886404298,22.7,47.2
Friedl Jr., TJ,670770,2022,258,20,15.5,.240,.215,87.2,30.9,4.7,29.8,97.321634111,92.6816085,19.9,43.5
Soto, Livan,670869,2022,59,2,22,.400,.279,83.8,40.9,0,15.9,92.851194286,90.623598049,16.8,50.7
Kennedy, Buddy,671083,2022,94,8,24.5,.217,.196,88.6,38.7,1.6,32.3,96.315206452,92.208401452,21.5,41
Casas, Triston,671213,2022,95,19,24.2,.197,.193,86,28.3,7.5,41.5,99.403010741,93.836791698,26.3,37.9
Waters, Drew,671221,2022,109,12,36.7,.240,.198,84.1,41.1,12.5,28.6,96.323792143,92.407147857,32.4,47.1
García, Luis,671277,2022,377,11,22.3,.275,.260,87.3,37.4,7.5,36.7,98.963627429,93.569820789,27,53.5
Freeman, Tyler,671289,2022,86,4,12.8,.247,.229,85.9,28.4,1.5,26.9,96.960101818,92.566031846,18.5,50.7
Harris II, Michael,671739,2022,441,21,24.3,.297,.268,89.5,32.8,10.1,45.1,102.581692941,95.614748459,28.1,52.4
Kelenic, Jarred,672284,2022,181,16,33.7,.141,.174,86,27.2,13.6,35,99.0507575,93.58765835,33.3,48.5
Arias, Gabriel,672356,2022,57,8,28.1,.191,.197,88.8,18.8,6.3,34.4,100.516843333,94.398779,36.1,42
Kirk, Alejandro,672386,2022,541,63,10.7,.285,.278,90.5,32,6.7,45.4,101.053304663,94.989537614,15.4,41
Diaz, Jordan,672478,2022,51,2,13.7,.265,.208,86.9,26.2,0,31,96.129837619,92.068414524,20.4,63.6
Moreno, Gabriel,672515,2022,73,4,11,.319,.274,89.2,29.5,3.3,32.8,97.748776129,93.009237869,19.7,47.9
Perdomo, Geraldo,672695,2022,500,50,20.6,.195,.213,85,28.1,2,25.1,95.305189236,91.661910605,18.3,41.3
Peraza, Oswald,672724,2022,57,6,15.8,.306,.276,81.6,25,5,30,95.3083725,92.10581375,17.7,49.4
Marcano, Tucupita,672779,2022,177,10,24.9,.206,.172,84.7,30.3,1.6,17.2,94.100557069,91.080698696,20.6,46.1
Robert Jr., Luis,673357,2022,401,17,19.2,.284,.272,89.3,32.6,8.9,42.8,101.454212895,94.809771678,27.1,61.5
