last_name, first_name,player_id,year,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,xba,whiff_percent,swing_percent,hp_to_1b,sprint_speed
Crawford, J.P.,641487,2023,638,142,88,35,0,19,19.6,14.7,.266,.260,18.6,38.6,4.55,26.7
Davis, Jonathan,641505,2023,104,22,15,4,1,2,27.9,6.7,.244,.247,26.8,43.7,4.26,28.9
Delay, Jason,641511,2023,187,42,29,11,1,1,23.5,7.5,.251,.213,25.6,51.5,4.65,26.4
Dixon, Brandon,641525,2023,86,16,10,4,0,2,36,1.2,.203,.185,34.9,48.6,4.33,28.4
Dozier, Hunter,641531,2023,91,15,10,2,1,2,31.9,8.8,.183,.183,33.1,47.4,4.48,28.3
Fraley, Jake,641584,2023,380,86,53,18,0,15,18.7,9.7,.256,.261,24.1,52,4.24,28.0
Garver, Mitch,641598,2023,344,80,50,11,0,19,23.8,12.8,.270,.255,23.7,39.6,4.75,25.7
Guillorme, Luis,641645,2023,120,24,16,6,1,1,23.3,8.3,.224,.193,17.6,41.4,4.48,25.5
Hampson, Garrett,641658,2023,252,61,45,12,1,3,26.6,9.1,.276,.239,26.1,43.3,4.21,29.8
Heim, Jonah,641680,2023,501,118,72,28,0,18,19.2,8,.258,.256,22.4,52,4.77,25.8
Lewis, Kyle,641786,2023,54,8,5,2,0,1,38.9,5.6,.157,.182,35.8,47.2,,25.8
Locastro, Tim,641796,2023,67,13,8,3,0,2,32.8,4.5,.232,.220,32.3,52.1,,29.2
Mancini III, Trey,641820,2023,263,55,39,12,0,4,29.7,8,.234,.213,32.7,49.5,4.87,25.4
McKinney, Billy,641856,2023,147,29,19,3,1,6,26.5,11.6,.227,.242,28.6,44.7,4.4,27.1
McMahon, Ryan,641857,2023,627,133,76,31,3,23,31.6,10.8,.240,.245,32.2,47.4,4.62,25.8
O'Neill, Tyler,641933,2023,266,55,32,14,0,9,25.2,10.5,.231,.246,27.8,44.9,4.36,28.5
Palacios, Joshua,641943,2023,264,59,38,9,2,10,21.2,4.5,.239,.259,26.7,52,4.28,28.2
Smith, Dominic,642086,2023,586,134,100,21,1,12,15.5,8,.254,.256,19.9,49,4.56,25.8
Tellez, Rowdy,642133,2023,351,67,44,9,1,13,24.5,10,.215,.238,21.9,38.5,4.87,23.5
Thaiss, Matt,642136,2023,307,56,41,6,0,9,27,11.7,.214,.232,33.6,46,4.85,24.7
Thomas, Cody,642137,2023,46,10,6,3,0,1,37,8.7,.238,.156,35,50.5,,28.3
Wade, Tyler,642180,2023,55,13,11,1,1,0,23.6,7.3,.255,.215,23.3,43.9,4.24,28.9
White, Eli,642201,2023,17,1,1,0,0,0,41.2,11.8,.071,.204,40,42.3,,
