EV, LA, Hits, Outs
78, 51, 0, 12
91, -10, 8, 19
110, 3, 6, 5
75, -18, 1, 10
94, -5, 13, 28
52, -1, 0, 3
52, -2, 0, 2
84, -13, 3, 21
87, -8, 3, 22
73, 57, 0, 6
64, 8, 0, 2
105, 46, 0, 2
77, -53, 1, 1
61, -61, 0, 1
80, -48, 0, 1
66, 54, 3, 10
85, 67, 0, 3
79, -7, 3, 16
98, 6, 41, 18
82, -2, 3, 17
82, -1, 5, 23
101, 11, 69, 2
54, -64, 0, 1
40, 1, 0, 1
100, 52, 0, 4
72, -47, 3, 4
58, 55, 1, 2
91, 3, 12, 15
77, 68, 0, 6
75, -5, 3, 18
94, 8, 25, 29
61, 60, 0, 3
80, 73, 0, 1
33, -2, 1, 0
52, 11, 1, 1
93, 12, 42, 1
46, -63, 0, 1
65, -50, 0, 3
49, -58, 0, 1
109, -7, 6, 15
68, -45, 0, 4
54, 57, 0, 1
73, 70, 0, 1
67, -4, 1, 12
86, 9, 23, 21
70, 1, 3, 16
58, -53, 0, 2
89, 14, 39, 0
88, 55, 1, 24
47, 17, 1, 2
79, 6, 9, 19
65, 71, 0, 3
63, -2, 1, 0
63, -1, 0, 5
82, 11, 15, 11
68, 76, 0, 2
40, 14, 0, 1
53, -47, 1, 3
72, -34, 0, 10
77, 81, 0, 2
56, -42, 1, 3
116, 9, 1, 0
80, 86, 0, 3
74, 12, 5, 11
93, 25, 11, 49
65, -37, 1, 4
51, 28, 0, 1
49, -45, 1, 1
109, 6, 19, 8
68, -32, 0, 8
67, 9, 3, 4
86, 22, 15, 38
72, 87, 0, 1
70, 14, 1, 6
89, 27, 4, 31
42, -48, 0, 1
83, -47, 0, 3
102, -34, 0, 1
88, 68, 0, 5
47, 30, 0, 1
60, -31, 0, 6
65, 84, 0, 1
63, 11, 0, 2
104, 12, 68, 7
51, -80, 0, 1
68, 89, 0, 1
62, 15, 2, 2
95, -37, 0, 3
81, 28, 4, 18
34, -47, 0, 1
37, -42, 1, 0
56, -29, 0, 1
116, 22, 3, 0
83, 74, 0, 1
74, 25, 10, 2
51, 41, 0, 1
71, -44, 0, 4
90, -31, 1, 15
35, 33, 1, 0
95, 84, 0, 1
48, -28, 0, 3
92, 15, 52, 11
